"trait","Comp.1_mi_1","Comp.1_mi_10","Comp.1_mi_11","Comp.1_mi_12","Comp.1_mi_13","Comp.1_mi_14","Comp.1_mi_15","Comp.1_mi_16","Comp.1_mi_17","Comp.1_mi_18","Comp.1_mi_19","Comp.1_mi_2","Comp.1_mi_20","Comp.1_mi_21","Comp.1_mi_22","Comp.1_mi_23","Comp.1_mi_24","Comp.1_mi_25","Comp.1_mi_3","Comp.1_mi_4","Comp.1_mi_5","Comp.1_mi_6","Comp.1_mi_7","Comp.1_mi_8","Comp.1_mi_9","Comp.2_mi_1","Comp.2_mi_10","Comp.2_mi_11","Comp.2_mi_12","Comp.2_mi_13","Comp.2_mi_14","Comp.2_mi_15","Comp.2_mi_16","Comp.2_mi_17","Comp.2_mi_18","Comp.2_mi_19","Comp.2_mi_2","Comp.2_mi_20","Comp.2_mi_21","Comp.2_mi_22","Comp.2_mi_23","Comp.2_mi_24","Comp.2_mi_25","Comp.2_mi_3","Comp.2_mi_4","Comp.2_mi_5","Comp.2_mi_6","Comp.2_mi_7","Comp.2_mi_8","Comp.2_mi_9","Comp.3_mi_1","Comp.3_mi_10","Comp.3_mi_11","Comp.3_mi_12","Comp.3_mi_13","Comp.3_mi_14","Comp.3_mi_15","Comp.3_mi_16","Comp.3_mi_17","Comp.3_mi_18","Comp.3_mi_19","Comp.3_mi_2","Comp.3_mi_20","Comp.3_mi_21","Comp.3_mi_22","Comp.3_mi_23","Comp.3_mi_24","Comp.3_mi_25","Comp.3_mi_3","Comp.3_mi_4","Comp.3_mi_5","Comp.3_mi_6","Comp.3_mi_7","Comp.3_mi_8","Comp.3_mi_9","Comp.4_mi_1","Comp.4_mi_10","Comp.4_mi_11","Comp.4_mi_12","Comp.4_mi_13","Comp.4_mi_14","Comp.4_mi_15","Comp.4_mi_16","Comp.4_mi_17","Comp.4_mi_18","Comp.4_mi_19","Comp.4_mi_2","Comp.4_mi_20","Comp.4_mi_21","Comp.4_mi_22","Comp.4_mi_23","Comp.4_mi_24","Comp.4_mi_25","Comp.4_mi_3","Comp.4_mi_4","Comp.4_mi_5","Comp.4_mi_6","Comp.4_mi_7","Comp.4_mi_8","Comp.4_mi_9","Comp.1_mean","Comp.2_mean","Comp.3_mean","Comp.4_mean","Comp.5_mean"
"Body mass",4.98898490932544,4.97817285706668,4.99482259444261,4.9653602349312,4.98519191215411,4.98936831536068,4.99436429639643,4.98602139913973,4.99411693567361,4.93955357889589,4.98366028852251,4.97860414276632,4.98875297106378,4.99584460019522,4.94730699856317,4.96129122078367,4.98504387231941,4.99003432937374,4.98345429004901,4.95148000565872,4.99452553924653,4.97980866652679,4.98261659365234,4.96239109861691,4.98465685908967,0.396149530422291,0.151511957147986,0.267223405673947,0.220038281692269,0.558835716639327,0.345759863494628,0.53166456650666,0.696324633591073,0.129188986988939,0.0394714063526365,0.253141707831706,0.0951046892751883,0.0218135164293872,0.573821688024348,0.262715232662219,0.903408822092776,0.502310950254047,0.176969076164234,0.196646081468544,0.0106859214835902,0.755408932064185,0.536260289339116,0.159797209116811,0.0888879804393414,0.612071423275427,0.752519523648192,0.446899712615528,1.0412814624501,0.477319521275467,0.406394970539281,0.639013202940795,0.751712644525993,0.5456469370283,1.00950539448901,0.020098710198704,0.566288369212334,0.721931959488774,0.949161397310422,0.628844972203995,0.0294454009591528,0.652563301521143,0.560359113298529,0.715059196614483,0.956603992819281,0.143871125028601,0.225899305192567,0.437399412114459,0.502812875909063,0.226987531962428,0.520695355823002,4.83599105567799,4.89848137475993,4.78498399343857,4.90601130925758,4.86522428760708,4.85575082319289,4.81752905166763,4.83290720292523,4.79822937102389,4.95972262239993,4.87630668511063,4.86654601679431,4.81777548315184,4.82874925855411,4.94512559363839,4.81077988066879,4.85623506066674,4.85354815398902,4.81782341504515,4.94591070117799,4.84076868762445,4.87058644324731,4.88826921767193,4.931049601417,4.84844726859685,4.97941714039257,0.339408474737227,0.557132615566784,4.86211010237221,NA
"Diet",0.664680214457266,1.01460900363718,0.624022884977039,1.23884210913462,0.667342547331971,0.747767632497202,0.591403243224482,0.603294101290789,0.833986814968652,1.34475825384864,0.803574350122293,1.026409923474,0.86680431685308,0.612158607543378,1.20436810390445,0.361683332733025,0.701881978537703,0.825306759565067,0.992646406242028,1.30034357330324,0.658908972867329,0.797421687066802,1.00165948050475,1.2039551397387,0.618976552377727,5.15267780746516,5.03618098322443,5.18458505341526,-4.83542988315777,5.77060162828517,5.20022386083518,5.42875538373786,5.47754062996516,5.02533367519982,4.87064670398333,5.11964614447049,-4.9429913182803,-5.04602151909481,5.79353147354584,4.9983657912171,5.30801286558012,5.2564909925351,5.10400802351594,-4.98162735276955,4.88661648609491,6.42810434372228,5.2273653918162,5.05841130043441,4.95762824633585,5.45636208982059,4.3392339577288,4.47903654285965,4.27003671396619,4.6752900855205,3.54353009629576,4.3003494975178,3.97737616337107,3.89914076343346,4.39679628363888,-4.64983613241558,4.42499246546989,4.5665696741586,4.44126710071864,3.45284410888706,4.50821127360816,4.12001324508094,4.22019446052621,4.40816486797002,4.50001681759179,4.61920435676136,2.02152334973567,4.23118771596418,4.43955782702049,4.54875957963718,3.97194786143062,-1.78301999008938,-1.59551913861127,-1.87014965291789,-1.49182796928244,-1.64262145024321,-1.70455553273817,-1.83284915977515,-1.85183319479918,-1.92838530525941,-1.35920927945805,-1.60091639374724,-1.63087734286021,-1.74970387357155,-1.77147465800907,-1.49728687965951,-1.92864601366259,-1.75117756065605,-1.68405859318969,-1.71694224471999,-1.44673322339375,-1.77728918810844,-1.77082473037611,-1.64300934303294,-1.51036435315746,-1.75174511800432,0.852272239608057,3.63740075207591,3.82821634705909,-1.69164080757292,NA
"Habitat breadth",4.84415161879948,4.79475242000693,4.8613813736155,4.77089079293661,4.83272808417458,4.83293227252196,4.85088409382379,4.83579376325089,4.8306214399872,4.73047694106754,4.82526057997721,4.809885770659,4.83287121326252,4.83995333869368,4.75302665511258,4.8596867229217,4.82784089915344,4.827706844007,4.814543140257,4.74262125870162,4.8286248161636,4.80903693845346,4.79257634233726,4.7615875763163,4.83901402265576,-0.681065118944666,-0.777034457495196,-0.776974320090429,0.794725635989915,-0.907985149021424,-0.745676152817011,-0.837353043761088,-0.856289053367102,-0.833853851829595,-0.748791115933797,-0.640215343118871,0.795640251309013,0.817254902091715,-0.942092892820041,-0.835401714801055,-0.588397135643937,-0.727934325216153,-0.727939412635776,0.826856631222618,-0.779666712814257,-1.87528452311003,-0.794555112489997,-0.776359407714529,-0.832226982135583,-0.803782724137083,-1.8458037851139,-1.87859345346778,-1.79909492535613,-1.9342994708395,-1.61604403205219,-1.79248753330422,-1.72890623302527,-1.76168250290249,-1.9761707210986,1.96147048732224,-1.83076237961255,-1.88299514639419,-1.84454015381873,-1.67691821321905,-1.90432602851592,-1.84570583635709,-1.83367567108651,-1.84332009551115,-1.9146074537897,-1.97878809556361,0.255913476693971,-1.87540142306335,-1.92205671107698,-1.9101570697029,-1.71790555492889,-4.6543908070443,-4.67733399697849,-4.63967019256133,-4.67605579120728,-4.71261115731558,-4.6769350185014,-4.66675975659748,-4.6667271717291,-4.58961148011436,-4.71322960421947,-4.68564763497519,-4.65685352382539,-4.64468749023827,-4.67709931119066,-4.6994025117895,-4.65087128734626,-4.6690146073769,-4.66535334839112,-4.63365522669743,-4.68871635805543,-4.70129754797113,-4.66097794461401,-4.66199271474402,-4.68892119493811,-4.68899532152295,4.81395395675426,-0.570176045171374,-1.60387434103138,-4.66987243999781,NA
"Litter/clutch size",-0.449916526829701,-0.445772145541475,-0.171212818838838,-0.221515254263882,-0.589283283272133,-0.435675373047539,-0.418916444021364,-0.625080406005628,-0.168399907400232,-0.644223245429001,-0.484002817912459,-0.15805800149389,-0.0659538172179501,-0.491579341692355,-0.694541969973534,-0.798886440275762,-0.590467214768174,-0.334174763583097,0.00328660480260645,-0.547262223657276,-0.552210094092878,-0.662410765590667,-0.448800811769024,-0.502444383921967,-0.594985137022566,4.67216515822794,4.79688885455093,4.63087252915508,-4.99385744321513,3.81620524324849,4.61325145522294,4.3063659450124,4.21644989402446,4.79937698168547,4.97137350817211,4.72390378242399,-4.89129313331152,-4.78218416880197,3.77070056046415,4.82176566193602,4.43425763006243,4.53730071439224,4.73158411670954,-4.84365846733484,4.95105897216312,-1.89529413257161,4.55584878323855,4.7732804273004,4.87046397669379,4.26701472342866,-5.11837585699612,-5.02089622788403,-5.1425457535054,-4.8137630028859,-5.80229603441905,-5.18513690934142,-5.44300378398856,-5.51320646139888,-4.9743170968234,4.85090233986366,-5.07415690266126,-4.90709536646474,-4.99719029084148,-5.81982532958094,-5.00486827578823,-5.30971015814449,-5.24533982814771,-5.0654658095398,-4.91620135269155,-4.87100091179581,6.69305021218528,-5.23341205801031,-5.03420336416449,-4.96070185720294,-5.47734488934607,0.877881791385165,0.762722479126183,1.03919630603926,0.91651763813917,0.650141125005767,0.801531790753556,0.808350894137024,0.659832775177658,1.09260765103749,0.582381611487407,0.838693062942703,0.985233077298798,1.07445514879581,0.81841320083726,0.468487881730722,0.711419540267136,0.742065214591651,0.917330423713003,1.17043842633355,0.678873500738675,0.553175397309166,0.645640823496836,0.819248608141182,0.646194534746887,0.661264697318439,-0.443699463312751,2.79415366291511,-4.29544419878295,0.79688390402202,NA
