Caluromys_philander
Cryptonanus_agricolai
Didelphis_albiventris
Didelphis_marsupialis
Gracilinanus_agilis
Gracilinanus_microtarsus
Marmosa_demerarae
Marmosa_murina
Marmosops_incanus
Metachirus_nudicaudatus
Monodelphis_americana
Monodelphis_domestica
Thylamys_karimii
Dasypus_novemcinctus
Dasypus_septemcinctus
Euphractus_sexcinctus
Cabassous_tatouay
Cabassous_unicinctus
Priodontes_maximus
Tolypeutes_tricinctus
Myrmecophaga_tridactyla
Tamandua_tetradactyla
Alouatta_caraya
Alouatta_ululata
Callithrix_jacchus
Callithrix_penicillata
Cebus_libidinosus
Cebus_xanthosternos
Callicebus_barbarabrownae
Callicebus_melanochir
Cavia_aperea
Galea_spixii
Hydrochoerus_hydrochaeris
Kerodon_rupestris
Akodon_cursor
Calomys_expulsus
Cerradomys_langguthi
Cerradomys_vivoi
Euryoryzomys_russatus
Holochilus_sciureus
Hylaeamys_megacephalus
Necromys_lasiurus
Nectomys_rattus
Oecomys_catherinae
Oligoryzomys_mattogrossae
Oligoryzomys_nigripes
Oligoryzomys_rupestris
Oligoryzomys_stramineus
Oxymycterus_dasytrichus
Oxymycterus_delator
Pseudoryzomys_simplex
Rhipidomys_cariri
Rhipidomys_cearanus
Rhipidomys_macrurus
Rhipidomys_mastacalis
Wiedomys_cerradensis
Wiedomys_pyrrhorhinos
Cuniculus_paca
Dasyprocta_azarae
Dasyprocta_prymnolopha
Makalata_didelphoides
Phyllomys_blainvilii
Phyllomys_lamarum
Thrichomys_apereoides
Thrichomys_inermis
Thrichomys_laurentius
Trinomys_albispinus_albispinus
Trinomys_albispinus_minor
Trinomys_yonenagae
Coendou_baturitensis
Coendou_prehensilis
Guerlinguetus_brasiliensis
Sylvilagus_minensis
Peropteryx_kappleri
Peropteryx_macrotis
Peropteryx_trinitatis
Rhynchonycteris_naso
Saccopteryx_bilineata
Saccopteryx_leptura
Furipterus_horrens
Cynomops_abrasus
Cynomops_greenhalli
Cynomops_planirostris
Eumops_auripendulus
Eumops_glaucinus
Eumops_perotis
Molossops_temminckii
Molossus_molossus
Molossus_pretiosus
Molossus_rufus
Neoplatymops_mattogrossensis
Nyctinomops_aurispinosus
Nyctinomops_laticaudatus
Nyctinomops_macrotis
Promops_nasutus
Tadarida_brasiliensis
Pteronotus_gymnonotus
Pteronotus_parnellii
Pteronotus_personatus
Natalus_macrourus
Noctilio_leporinus
Carollia_brevicauda
Carollia_perspicillata
Desmodus_rotundus
Diaemus_youngii
Diphylla_ecaudata
Anoura_caudifer
Anoura_geoffroyi
Dryadonycteris_capixaba
Glossophaga_soricina
Lionycteris_spurrelli
Lonchophylla_dekeyseri
Lonchophylla_inexpectata
Lonchophylla_mordax
Xeronycteris_vieirai
Chrotopterus_auritus
Lonchorhina_aurita
Lophostoma_brasiliense
Lophostoma_carrikeri
Lophostoma_silvicolum
Macrophyllum_macrophyllum
Micronycteris_megalotis
Micronycteris_minuta
Micronycteris_sanborni
Micronycteris_schmidtorum
Mimon_bennettii
Mimon_crenulatum
Phylloderma_stenops
Phyllostomus_discolor
Phyllostomus_elongatus
Phyllostomus_hastatus
Tonatia_bidens
Tonatia_saurophila
Trachops_cirrhosus
Vampyrum_spectrum
Artibeus_cinereus
Artibeus_concolor
Artibeus_fmbriatus
Artibeus_lituratus
Artibeus_obscurus
Artibeus_planirostris
Chiroderma_villosum
Chiroderma_vizottoi
Platyrrhinus_lineatus
Platyrrhinus_recifnus
Pygoderma_bilabiatum
Sturnira_lilium
Sturnira_tildae
Uroderma_bilobatum
Uroderma_magnirostrum
Myotis_albescens
Myotis_lavali
Myotis_nigricans
Myotis_riparius
Myotis_ruber
Eptesicus_brasiliensis
Eptesicus_furinalis
Histiotus_velatus
Lasiurus_blossevillii
Lasiurus_ega
Lasiurus_egregius
Rhogeessa_hussoni
Cerdocyon_thous
Lycalopex_vetulus
Speothos_venaticus
Leopardus_braccatus
Leopardus_pardalis
Leopardus_tigrinus
Leopardus_wiedii
Puma_concolor
Puma_yagouaroundi
Panthera_onca
Conepatus_amazonicus
Lontra_longicaudis
Eira_barbara
Galictis_cuja
Nasua_nasua
Procyon_cancrivorus
Tapirus_terrestris
Mazama_americana
Mazama_gouazoubira
Pecari_tajacu
Tayassu_pecari
